date,weekday,holiday,holiday_name,rest1,rest2,rest3,rest4,total
5/30/2016,Monday,1,Memorial Day,48,14,51,41,154
5/31/2016,Tuesday,0,na,28,10,21,17,76
6/1/2016,Wednesday,0,na,23,4,17,23,67
6/2/2016,Thursday,0,na,10,15,23,29,77
6/3/2016,Friday,0,na,24,37,20,18,99
6/4/2016,Saturday,0,na,49,31,44,50,174
6/5/2016,Sunday,0,na,41,10,50,52,153
6/6/2016,Monday,0,na,19,2,21,31,73
6/7/2016,Tuesday,0,na,26,27,19,24,96
6/8/2016,Wednesday,0,na,38,20,18,26,102
6/9/2016,Thursday,0,na,21,41,22,25,109
6/10/2016,Friday,0,na,39,46,34,37,156
6/11/2016,Saturday,0,na,61,29,43,74,207
6/12/2016,Sunday,0,na,58,48,32,48,186
6/13/2016,Monday,0,na,16,12,7,9,44
6/14/2016,Tuesday,0,na,41,5,23,28,97
6/15/2016,Wednesday,0,na,38,6,14,28,86
6/16/2016,Thursday,0,na,35,9,14,24,82
6/17/2016,Friday,0,na,70,47,13,24,154
6/18/2016,Saturday,0,na,76,36,60,48,220
6/19/2016,Sunday,1,Father's Day,88,27,41,68,224
6/20/2016,Monday,0,na,33,23,20,12,88
6/21/2016,Tuesday,0,na,53,9,19,8,89
6/22/2016,Wednesday,0,na,25,7,12,16,60
6/23/2016,Thursday,0,na,44,33,16,14,107
6/24/2016,Friday,0,na,62,34,47,14,157
6/25/2016,Saturday,0,na,74,33,81,53,241
6/26/2016,Sunday,0,na,66,24,57,56,203
6/27/2016,Monday,0,na,26,16,19,15,76
6/28/2016,Tuesday,0,na,39,13,18,21,91
6/29/2016,Wednesday,0,na,30,20,51,16,117
6/30/2016,Thursday,0,na,37,3,23,23,86
7/1/2016,Friday,0,na,38,38,25,14,115
7/2/2016,Saturday,0,na,62,61,51,56,230
7/3/2016,Sunday,0,na,52,46,41,35,174
7/4/2016,Monday,1,Independence Day,22,38,33,43,136
7/5/2016,Tuesday,0,na,37,10,27,41,115
7/6/2016,Wednesday,0,na,40,11,18,61,130
7/7/2016,Thursday,0,na,30,13,37,13,93
7/8/2016,Friday,0,na,35,46,17,50,148
7/9/2016,Saturday,0,na,88,30,76,48,242
7/10/2016,Sunday,0,na,88,27,57,47,219
7/11/2016,Monday,0,na,17,2,42,23,84
7/12/2016,Tuesday,0,na,38,13,14,15,80
7/13/2016,Wednesday,0,na,21,27,7,20,75
7/14/2016,Thursday,0,na,39,5,18,6,68
7/15/2016,Friday,0,na,47,34,22,15,118
7/16/2016,Saturday,0,na,88,32,44,60,224
7/17/2016,Sunday,0,na,32,24,60,79,195
7/18/2016,Monday,0,na,48,32,19,18,117
7/19/2016,Tuesday,0,na,23,19,14,12,68
7/20/2016,Wednesday,0,na,30,25,8,17,80
7/21/2016,Thursday,0,na,22,7,10,17,56
7/22/2016,Friday,0,na,58,47,71,16,192
7/23/2016,Saturday,0,na,50,36,69,40,195
7/24/2016,Sunday,0,na,27,38,55,36,156
7/25/2016,Monday,0,na,35,14,10,11,70
7/26/2016,Tuesday,0,na,26,23,23,19,91
7/27/2016,Wednesday,0,na,23,9,18,14,64
7/28/2016,Thursday,0,na,35,8,19,44,106
7/29/2016,Friday,0,na,51,47,20,23,141
7/30/2016,Saturday,0,na,67,60,58,51,236
7/31/2016,Sunday,0,na,30,16,58,42,146
8/1/2016,Monday,0,na,9,16,11,15,51
8/2/2016,Tuesday,0,na,27,11,12,23,73
8/3/2016,Wednesday,0,na,47,33,9,25,114
8/4/2016,Thursday,0,na,26,12,24,19,81
8/5/2016,Friday,0,na,45,17,19,20,101
8/6/2016,Saturday,0,na,46,27,52,29,154
8/7/2016,Sunday,0,na,49,25,45,38,157
8/8/2016,Monday,0,na,26,19,21,9,75
8/9/2016,Tuesday,0,na,17,19,21,20,77
8/10/2016,Wednesday,0,na,23,25,12,43,103
8/11/2016,Thursday,0,na,33,19,27,43,122
8/12/2016,Friday,0,na,36,57,18,39,150
8/13/2016,Saturday,0,na,44,23,75,54,196
8/14/2016,Sunday,0,na,32,9,49,59,149
8/15/2016,Monday,0,na,46,43,27,45,161
8/16/2016,Tuesday,0,na,22,20,23,19,84
8/17/2016,Wednesday,0,na,18,17,18,22,75
8/18/2016,Thursday,0,na,23,9,13,6,51
8/19/2016,Friday,0,na,23,25,31,48,127
8/20/2016,Saturday,0,na,55,26,65,37,183
8/21/2016,Sunday,0,na,20,18,57,49,144
8/22/2016,Monday,0,na,25,12,16,12,65
8/23/2016,Tuesday,0,na,24,15,30,14,83
8/24/2016,Wednesday,0,na,23,26,6,37,92
8/25/2016,Thursday,0,na,28,9,21,55,113
8/26/2016,Friday,0,na,30,38,41,20,129
8/27/2016,Saturday,0,na,55,31,61,49,196
8/28/2016,Sunday,0,na,35,39,47,54,175
8/29/2016,Monday,0,na,19,31,17,17,84
8/30/2016,Tuesday,0,na,25,2,21,9,57
8/31/2016,Wednesday,0,na,41,34,20,15,110
9/1/2016,Thursday,0,na,10,14,14,16,54
9/2/2016,Friday,0,na,32,11,20,40,103
9/3/2016,Saturday,0,na,89,55,48,51,243
9/4/2016,Sunday,0,na,19,11,36,97,163
9/5/2016,Monday,1,Labor Day,61,21,31,45,158
9/6/2016,Tuesday,0,na,22,4,20,17,63
9/7/2016,Wednesday,0,na,38,30,17,17,102
9/8/2016,Thursday,0,na,22,2,15,22,61
9/9/2016,Friday,0,na,39,27,25,12,103
9/10/2016,Saturday,0,na,68,33,51,57,209
9/11/2016,Sunday,0,na,40,20,67,54,181
9/12/2016,Monday,0,na,10,2,14,37,63
9/13/2016,Tuesday,0,na,25,10,10,11,56
9/14/2016,Wednesday,0,na,20,13,13,27,73
9/15/2016,Thursday,0,na,26,5,23,39,93
9/16/2016,Friday,0,na,23,43,23,51,140
9/17/2016,Saturday,0,na,75,38,99,60,272
9/18/2016,Sunday,0,na,52,47,55,57,211
9/19/2016,Monday,0,na,37,41,22,19,119
9/20/2016,Tuesday,0,na,12,12,16,11,51
9/21/2016,Wednesday,0,na,40,49,21,10,120
9/22/2016,Thursday,0,na,49,31,31,35,146
9/23/2016,Friday,0,na,36,27,30,44,137
9/24/2016,Saturday,0,na,67,38,62,40,207
9/25/2016,Sunday,0,na,31,20,50,73,174
9/26/2016,Monday,0,na,8,19,17,9,53
9/27/2016,Tuesday,0,na,31,33,18,45,127
9/28/2016,Wednesday,0,na,27,41,22,49,139
9/29/2016,Thursday,0,na,18,11,16,12,57
9/30/2016,Friday,0,na,48,21,33,27,129
10/1/2016,Saturday,0,na,30,28,55,78,191
10/2/2016,Sunday,0,na,46,22,61,42,171
10/3/2016,Monday,0,na,34,8,17,15,74
10/4/2016,Tuesday,0,na,32,19,12,42,105
10/5/2016,Wednesday,0,na,12,16,8,22,58
10/6/2016,Thursday,0,na,8,26,16,25,75
10/7/2016,Friday,0,na,55,45,28,21,149
10/8/2016,Saturday,0,na,82,45,55,46,228
10/9/2016,Sunday,0,na,57,9,44,79,189
10/10/2016,Monday,1,Columbus Day,37,31,41,85,194
10/11/2016,Tuesday,0,na,19,45,14,8,86
10/12/2016,Wednesday,0,na,9,11,17,35,72
10/13/2016,Thursday,0,na,13,26,13,16,68
10/14/2016,Friday,0,na,71,53,21,36,181
10/15/2016,Saturday,0,na,66,47,54,47,214
10/16/2016,Sunday,0,na,37,11,45,56,149
10/17/2016,Monday,0,na,6,15,11,9,41
10/18/2016,Tuesday,0,na,32,32,17,28,109
10/19/2016,Wednesday,0,na,25,34,23,19,101
10/20/2016,Thursday,0,na,20,15,25,19,79
10/21/2016,Friday,0,na,46,27,32,16,121
10/22/2016,Saturday,0,na,73,56,43,46,218
10/23/2016,Sunday,0,na,32,32,24,54,142
10/24/2016,Monday,0,na,30,12,17,20,79
10/25/2016,Tuesday,0,na,27,29,25,15,96
10/26/2016,Wednesday,0,na,18,30,14,23,85
10/27/2016,Thursday,0,na,33,22,16,26,97
10/28/2016,Friday,0,na,38,38,38,28,142
10/29/2016,Saturday,0,na,100,47,55,54,256
10/30/2016,Sunday,0,na,8,33,59,96,196
10/31/2016,Monday,1,Halloween,39,8,52,82,181
11/1/2016,Tuesday,0,na,33,37,17,23,110
11/2/2016,Wednesday,0,na,41,41,23,16,121
11/3/2016,Thursday,0,na,61,33,44,60,198
11/4/2016,Friday,0,na,33,22,23,28,106
11/5/2016,Saturday,0,na,66,45,59,33,203
11/6/2016,Sunday,0,na,24,26,40,48,138
11/7/2016,Monday,0,na,15,9,17,20,61
11/8/2016,Tuesday,0,na,28,13,20,16,77
11/9/2016,Wednesday,0,na,27,36,15,14,92
11/10/2016,Thursday,0,na,23,32,12,16,83
11/11/2016,Friday,1,Veterans' Day,75,45,37,50,207
11/12/2016,Saturday,0,na,58,57,44,49,208
11/13/2016,Sunday,0,na,29,22,48,50,149
11/14/2016,Monday,0,na,9,25,16,27,77
11/15/2016,Tuesday,0,na,19,12,22,9,62
11/16/2016,Wednesday,0,na,27,22,26,45,120
11/17/2016,Thursday,0,na,35,16,18,32,101
11/18/2016,Friday,0,na,44,39,35,32,150
11/19/2016,Saturday,0,na,80,49,51,26,206
11/20/2016,Sunday,0,na,32,18,34,14,98
11/21/2016,Monday,0,na,23,15,19,9,66
11/22/2016,Tuesday,0,na,59,56,18,15,148
11/23/2016,Wednesday,0,na,5,42,20,38,105
11/24/2016,Thursday,1,Thanksgiving,17,21,20,7,65
11/25/2016,Friday,1,Black Friday,72,27,34,102,235
11/26/2016,Saturday,0,na,69,48,60,55,232
11/27/2016,Sunday,0,na,49,13,43,50,155
11/28/2016,Monday,0,na,20,17,14,20,71
11/29/2016,Tuesday,0,na,32,9,26,30,97
11/30/2016,Wednesday,0,na,8,55,13,26,102
12/1/2016,Thursday,0,na,23,21,18,14,76
12/2/2016,Friday,0,na,34,42,19,15,110
12/3/2016,Saturday,0,na,55,52,60,63,230
12/4/2016,Sunday,0,na,54,26,58,49,187
12/5/2016,Monday,0,na,29,10,20,21,80
12/6/2016,Tuesday,0,na,13,21,24,15,73
12/7/2016,Wednesday,0,na,10,28,18,14,70
12/8/2016,Thursday,0,na,33,21,15,24,93
12/9/2016,Friday,0,na,40,41,29,30,140
12/10/2016,Saturday,0,na,69,54,78,37,238
12/11/2016,Sunday,0,na,31,12,45,96,184
12/12/2016,Monday,0,na,16,7,24,19,66
12/13/2016,Tuesday,0,na,35,42,15,11,103
12/14/2016,Wednesday,0,na,23,65,19,13,120
12/15/2016,Thursday,0,na,25,51,25,24,125
12/16/2016,Friday,0,na,50,57,23,27,157
12/17/2016,Saturday,0,na,86,52,65,43,246
12/18/2016,Sunday,0,na,39,37,32,47,155
12/19/2016,Monday,0,na,29,23,8,23,83
12/20/2016,Tuesday,0,na,11,41,15,24,91
12/21/2016,Wednesday,0,na,27,44,24,23,118
12/22/2016,Thursday,0,na,57,66,33,25,181
12/23/2016,Friday,0,na,51,59,56,30,196
12/24/2016,Saturday,1,Christmas Eve,64,66,42,94,266
12/25/2016,Sunday,1,Christmas Day,64,41,70,59,234
12/26/2016,Monday,0,na,35,18,20,27,100
12/27/2016,Tuesday,0,na,38,56,19,11,124
12/28/2016,Wednesday,0,na,31,53,36,24,144
12/29/2016,Thursday,0,na,33,19,27,43,122
12/30/2016,Friday,0,na,64,49,24,59,196
12/31/2016,Saturday,1,New Year's Eve,88,54,57,117,316
1/1/2017,Sunday,1,New Year's Day,48,43,47,118,256
1/2/2017,Monday,0,na,7,5,43,75,130
1/3/2017,Tuesday,0,na,39,34,16,55,144
1/4/2017,Wednesday,0,na,23,24,23,29,99
1/5/2017,Thursday,0,na,14,22,28,11,75
1/6/2017,Friday,0,na,16,33,21,21,91
1/7/2017,Saturday,0,na,85,58,39,51,233
1/8/2017,Sunday,0,na,27,17,43,85,172
1/9/2017,Monday,0,na,40,11,10,30,91
1/10/2017,Tuesday,0,na,12,25,18,14,69
1/11/2017,Wednesday,0,na,19,17,12,14,62
1/12/2017,Thursday,0,na,21,27,16,15,79
1/13/2017,Friday,0,na,30,47,16,9,102
1/14/2017,Saturday,0,na,84,48,55,39,226
1/15/2017,Sunday,0,na,33,35,51,39,158
1/16/2017,Monday,1,Martin Luther King Day,56,26,29,26,137
1/17/2017,Tuesday,0,na,38,27,19,19,103
1/18/2017,Wednesday,0,na,37,26,25,12,100
1/19/2017,Thursday,0,na,23,19,19,9,70
1/20/2017,Friday,0,na,40,42,22,21,125
1/21/2017,Saturday,0,na,63,25,57,37,182
1/22/2017,Sunday,0,na,38,15,49,44,146
1/23/2017,Monday,0,na,18,4,24,16,62
1/24/2017,Tuesday,0,na,17,13,35,17,82
1/25/2017,Wednesday,0,na,35,38,22,20,115
1/26/2017,Thursday,0,na,33,12,19,31,95
1/27/2017,Friday,0,na,27,44,25,35,131
1/28/2017,Saturday,0,na,78,48,74,50,250
1/29/2017,Sunday,0,na,63,28,52,47,190
1/30/2017,Monday,0,na,16,9,30,19,74
1/31/2017,Tuesday,0,na,28,24,31,11,94
2/1/2017,Wednesday,0,na,29,30,13,9,81
2/2/2017,Thursday,1,Groundhog Day,26,11,18,12,67
2/3/2017,Friday,0,na,23,36,34,28,121
2/4/2017,Saturday,0,na,86,47,58,38,229
2/5/2017,Sunday,0,na,45,9,48,55,157
2/6/2017,Monday,0,na,14,4,18,24,60
2/7/2017,Tuesday,0,na,21,6,23,15,65
2/8/2017,Wednesday,0,na,44,17,19,32,112
2/9/2017,Thursday,0,na,41,26,32,23,122
2/10/2017,Friday,0,na,55,33,34,24,146
2/11/2017,Saturday,0,na,82,36,49,52,219
2/12/2017,Sunday,0,na,26,24,42,92,184
2/13/2017,Monday,0,na,15,25,9,15,64
2/14/2017,Tuesday,1,Valentine's Day,39,34,58,117,248
2/15/2017,Wednesday,0,na,31,24,17,18,90
2/16/2017,Thursday,0,na,41,33,20,16,110
2/17/2017,Friday,0,na,40,49,26,25,140
2/18/2017,Saturday,0,na,103,34,61,50,248
2/19/2017,Sunday,0,na,21,14,47,80,162
2/20/2017,Monday,1,Presidents Day,51,27,39,17,134
2/21/2017,Tuesday,0,na,22,16,9,37,84
2/22/2017,Wednesday,0,na,38,16,25,29,108
2/23/2017,Thursday,0,na,44,34,23,17,118
2/24/2017,Friday,0,na,44,56,23,21,144
2/25/2017,Saturday,0,na,88,63,61,49,261
2/26/2017,Sunday,0,na,42,31,57,23,153
2/27/2017,Monday,0,na,31,18,7,22,78
2/28/2017,Tuesday,0,na,31,38,40,14,123
3/1/2017,Wednesday,0,na,19,14,20,8,61
3/2/2017,Thursday,0,na,40,10,27,3,80
3/3/2017,Friday,0,na,36,35,20,11,102
3/4/2017,Saturday,0,na,92,53,62,30,237
3/5/2017,Sunday,0,na,39,8,66,51,164
3/6/2017,Monday,0,na,10,6,24,23,63
3/7/2017,Tuesday,0,na,28,9,19,13,69
3/8/2017,Wednesday,0,na,27,19,35,21,102
3/9/2017,Thursday,0,na,63,22,13,13,111
3/10/2017,Friday,0,na,38,53,32,32,155
3/11/2017,Saturday,0,na,128,29,80,59,296
3/12/2017,Sunday,0,na,46,16,55,41,158
3/13/2017,Monday,0,na,43,24,18,13,98
3/14/2017,Tuesday,0,na,21,14,22,29,86
3/15/2017,Wednesday,0,na,12,18,21,11,62
3/16/2017,Thursday,0,na,30,8,24,9,71
3/17/2017,Friday,1,St. Patrick's Day,73,45,37,50,205
3/18/2017,Saturday,0,na,71,34,30,44,179
3/19/2017,Sunday,0,na,33,25,68,79,205
3/20/2017,Monday,0,na,34,22,19,50,125
3/21/2017,Tuesday,0,na,4,18,15,18,55
3/22/2017,Wednesday,0,na,33,39,14,23,109
3/23/2017,Thursday,0,na,29,23,19,13,84
3/24/2017,Friday,0,na,50,60,31,13,154
3/25/2017,Saturday,0,na,95,43,62,64,264
3/26/2017,Sunday,0,na,33,27,48,38,146
3/27/2017,Monday,0,na,26,31,34,7,98
3/28/2017,Tuesday,0,na,21,25,20,31,97
3/29/2017,Wednesday,0,na,39,40,22,39,140
3/30/2017,Thursday,0,na,36,22,13,29,100
3/31/2017,Friday,0,na,49,52,28,20,149
4/1/2017,Saturday,0,na,67,31,36,62,196
4/2/2017,Sunday,0,na,69,21,55,51,196
4/3/2017,Monday,0,na,24,2,29,14,69
4/4/2017,Tuesday,0,na,45,8,22,24,99
4/5/2017,Wednesday,0,na,44,15,20,19,98
4/6/2017,Thursday,0,na,22,11,19,22,74
4/7/2017,Friday,0,na,55,42,40,25,162
4/8/2017,Saturday,0,na,71,24,47,49,191
4/9/2017,Sunday,0,na,54,31,33,59,177
4/10/2017,Monday,0,na,21,9,17,26,73
4/11/2017,Tuesday,0,na,23,22,17,15,77
4/12/2017,Wednesday,0,na,44,2,15,28,89
4/13/2017,Thursday,0,na,19,12,12,27,70
4/14/2017,Friday,1,Good Friday,41,74,57,49,221
4/15/2017,Saturday,0,na,69,24,66,59,218
4/16/2017,Sunday,1,Easter,58,35,60,100,253
4/17/2017,Monday,1,Easter Monday,63,21,24,32,140
4/18/2017,Tuesday,0,na,30,30,13,18,91
4/19/2017,Wednesday,0,na,20,11,30,18,79
4/20/2017,Thursday,0,na,22,3,19,46,90
4/21/2017,Friday,0,na,38,53,36,38,165
4/22/2017,Saturday,0,na,97,20,50,59,226
4/23/2017,Sunday,0,na,,,,,
4/24/2017,Monday,0,na,,,,,
4/25/2017,Tuesday,0,na,,,,,
4/26/2017,Wednesday,0,na,,,,,
4/27/2017,Thursday,0,na,,,,,
4/28/2017,Friday,0,na,,,,,
4/29/2017,Saturday,0,na,,,,,
4/30/2017,Sunday,0,na,,,,,
5/1/2017,Monday,0,na,,,,,
5/2/2017,Tuesday,0,na,,,,,
5/3/2017,Wednesday,0,na,,,,,
5/4/2017,Thursday,0,na,,,,,
5/5/2017,Friday,1,Cinco de Mayo,,,,,
5/6/2017,Saturday,0,na,,,,,
5/7/2017,Sunday,0,na,,,,,
5/8/2017,Monday,0,na,,,,,
5/9/2017,Tuesday,0,na,,,,,
5/10/2017,Wednesday,0,na,,,,,
5/11/2017,Thursday,0,na,,,,,
5/12/2017,Friday,0,na,,,,,
5/13/2017,Saturday,0,na,,,,,
5/14/2017,Sunday,1,Mother's Day,,,,,
5/15/2017,Monday,0,na,,,,,
5/16/2017,Tuesday,0,na,,,,,
5/17/2017,Wednesday,0,na,,,,,
5/18/2017,Thursday,0,na,,,,,
5/19/2017,Friday,0,na,,,,,
5/20/2017,Saturday,0,na,,,,,
5/21/2017,Sunday,0,na,,,,,
5/22/2017,Monday,0,na,,,,,
5/23/2017,Tuesday,0,na,,,,,
5/24/2017,Wednesday,0,na,,,,,
5/25/2017,Thursday,0,na,,,,,
5/26/2017,Friday,0,na,,,,,
5/27/2017,Saturday,0,na,,,,,
5/28/2017,Sunday,0,na,,,,,
5/29/2017,Monday,1,Memorial Day,,,,,
5/30/2017,Tuesday,0,na,,,,,
5/31/2017,Wednesday,0,na,,,,,
